week,w1950,w1951,w1952,w1953,w1954,w1955,w1956,w1957,w1958,w1959,w1960,w1961,w1962,w1963,w1964,w1965,w1966,w1967,w1968,w1969,w1970,w1971,w1972,w1973,w1974,w1975,w1976,w1977,w1978,w1979,w1980,w1981,w1982,w1983,w1984,w1985,w1986,w1987,w1988,w1989,w1990,w1991,w1992,w1993,w1994,w1995,w1996,w1997,w1998,w1999,w2000,w2001,w2002,w2003,w2004,w2005,w2006,w2007,w2008,w2009
26,117.247,217.301,153.246,135.516,135.486,93.792,156.784,137.937,135.488,90.131,207.181,225.878,125.555,104.858,135.002,149.117,131.033,162.302,162.035,98.266,217.217,237.061,105.010,185.723,113.950,170.362,232.967,153.681,119.286,143.871,89.334,114.597,141.306,169.637,166.350,120.738,104.535,108.722,170.589,160.948,196.411,148.236,175.483,154.504,104.336,177.535,122.863,196.367,93.711,147.399,124.352,187.206,84.016,163.832,131.595,139.049,169.354,120.439,66.154,175.367
27,117.247,217.301,153.246,135.516,135.486,93.792,156.784,137.937,135.488,90.131,207.181,225.878,125.555,104.858,135.002,149.117,131.033,162.302,162.035,98.266,217.217,237.061,105.010,185.723,113.950,170.362,232.967,153.681,119.286,143.871,89.334,114.597,141.306,169.637,166.350,120.738,104.535,108.722,170.589,160.948,196.411,148.236,175.483,154.504,104.336,177.535,122.863,196.367,93.711,147.399,124.352,187.206,84.016,163.832,131.595,139.049,169.354,120.439,66.154,175.367
28,117.247,217.301,153.246,135.516,135.486,93.792,156.784,137.937,135.488,90.131,207.181,225.878,125.555,104.858,135.002,149.117,131.033,162.302,162.035,98.266,217.217,237.061,105.010,185.723,113.950,170.362,232.967,153.681,119.286,143.871,89.334,114.597,141.306,169.637,166.350,120.738,104.535,108.722,170.589,160.948,196.411,148.236,175.483,154.504,104.336,177.535,122.863,196.367,93.711,147.399,124.352,187.206,84.016,163.832,131.595,139.049,169.354,120.439,66.154,175.367
29,117.247,217.301,153.246,135.516,135.486,93.792,156.784,137.937,135.488,90.131,207.181,225.878,125.555,104.858,135.002,149.117,131.033,162.302,162.035,98.266,217.217,237.061,105.010,185.723,113.950,170.362,232.967,153.681,119.286,143.871,89.334,114.597,141.306,169.637,166.350,120.738,104.535,108.722,170.589,160.948,196.411,148.236,175.483,154.504,104.336,177.535,122.863,196.367,93.711,147.399,124.352,187.206,84.016,163.832,131.595,139.049,169.354,120.439,66.154,175.367
30,117.247,217.301,153.246,135.516,135.486,93.792,156.784,137.937,135.488,90.131,207.181,225.878,125.555,104.858,135.002,149.117,131.033,162.302,162.035,98.266,217.217,237.061,105.010,185.723,113.950,170.362,232.967,153.681,119.286,143.871,89.334,114.597,141.306,169.637,166.350,120.738,104.535,108.722,170.589,160.948,196.411,148.236,175.483,154.504,104.336,177.535,122.863,196.367,93.711,147.399,124.352,187.206,84.016,163.832,131.595,139.049,169.354,120.439,66.154,175.367
31,111.716,207.051,146.017,129.124,129.095,89.368,149.389,131.430,129.097,85.880,197.408,215.223,119.633,99.912,128.634,142.083,124.852,154.646,154.392,93.631,206.971,225.879,100.057,176.963,108.575,162.326,221.978,146.432,113.660,137.085,85.120,109.192,134.640,161.635,158.503,115.043,99.604,103.593,162.542,153.356,187.146,141.244,167.206,147.216,99.415,169.161,117.068,187.104,89.290,140.446,118.486,178.376,80.053,156.104,125.387,132.490,161.366,114.758,63.034,167.095
32,111.716,207.051,146.017,129.124,129.095,89.368,149.389,131.430,129.097,85.880,197.408,215.223,119.633,99.912,128.634,142.083,124.852,154.646,154.392,93.631,206.971,225.879,100.057,176.963,108.575,162.326,221.978,146.432,113.660,137.085,85.120,109.192,134.640,161.635,158.503,115.043,99.604,103.593,162.542,153.356,187.146,141.244,167.206,147.216,99.415,169.161,117.068,187.104,89.290,140.446,118.486,178.376,80.053,156.104,125.387,132.490,161.366,114.758,63.034,167.095
33,111.716,207.051,146.017,129.124,129.095,89.368,149.389,131.430,129.097,85.880,197.408,215.223,119.633,99.912,128.634,142.083,124.852,154.646,154.392,93.631,206.971,225.879,100.057,176.963,108.575,162.326,221.978,146.432,113.660,137.085,85.120,109.192,134.640,161.635,158.503,115.043,99.604,103.593,162.542,153.356,187.146,141.244,167.206,147.216,99.415,169.161,117.068,187.104,89.290,140.446,118.486,178.376,80.053,156.104,125.387,132.490,161.366,114.758,63.034,167.095
34,111.716,207.051,146.017,129.124,129.095,89.368,149.389,131.430,129.097,85.880,197.408,215.223,119.633,99.912,128.634,142.083,124.852,154.646,154.392,93.631,206.971,225.879,100.057,176.963,108.575,162.326,221.978,146.432,113.660,137.085,85.120,109.192,134.640,161.635,158.503,115.043,99.604,103.593,162.542,153.356,187.146,141.244,167.206,147.216,99.415,169.161,117.068,187.104,89.290,140.446,118.486,178.376,80.053,156.104,125.387,132.490,161.366,114.758,63.034,167.095
35,84.064,155.801,109.874,97.163,97.141,67.247,112.412,98.898,97.143,64.622,148.545,161.950,90.021,75.182,96.794,106.914,93.948,116.367,116.176,70.455,155.740,169.968,75.290,133.160,81.700,122.146,167.033,110.186,85.526,103.153,64.051,82.164,101.314,121.626,119.270,86.567,74.950,77.951,122.309,115.397,140.823,106.283,125.818,110.777,74.807,127.289,88.091,140.791,67.189,105.682,89.158,134.223,60.238,117.464,94.351,99.695,121.424,86.352,47.431,125.735
36,84.064,155.801,109.874,97.163,97.141,67.247,112.412,98.898,97.143,64.622,148.545,161.950,90.021,75.182,96.794,106.914,93.948,116.367,116.176,70.455,155.740,169.968,75.290,133.160,81.700,122.146,167.033,110.186,85.526,103.153,64.051,82.164,101.314,121.626,119.270,86.567,74.950,77.951,122.309,115.397,140.823,106.283,125.818,110.777,74.807,127.289,88.091,140.791,67.189,105.682,89.158,134.223,60.238,117.464,94.351,99.695,121.424,86.352,47.431,125.735
37,84.064,155.801,109.874,97.163,97.141,67.247,112.412,98.898,97.143,64.622,148.545,161.950,90.021,75.182,96.794,106.914,93.948,116.367,116.176,70.455,155.740,169.968,75.290,133.160,81.700,122.146,167.033,110.186,85.526,103.153,64.051,82.164,101.314,121.626,119.270,86.567,74.950,77.951,122.309,115.397,140.823,106.283,125.818,110.777,74.807,127.289,88.091,140.791,67.189,105.682,89.158,134.223,60.238,117.464,94.351,99.695,121.424,86.352,47.431,125.735
38,84.064,155.801,109.874,97.163,97.141,67.247,112.412,98.898,97.143,64.622,148.545,161.950,90.021,75.182,96.794,106.914,93.948,116.367,116.176,70.455,155.740,169.968,75.290,133.160,81.700,122.146,167.033,110.186,85.526,103.153,64.051,82.164,101.314,121.626,119.270,86.567,74.950,77.951,122.309,115.397,140.823,106.283,125.818,110.777,74.807,127.289,88.091,140.791,67.189,105.682,89.158,134.223,60.238,117.464,94.351,99.695,121.424,86.352,47.431,125.735
39,53.093,98.400,69.394,61.366,61.352,42.472,70.997,62.462,61.353,40.814,93.818,102.284,56.855,47.483,61.133,67.525,59.336,73.495,73.374,44.498,98.362,107.348,47.552,84.101,51.600,77.145,105.495,69.591,54.016,65.149,40.453,51.893,63.988,76.817,75.328,54.674,47.337,49.232,77.248,72.882,88.941,67.126,79.464,69.964,47.247,80.393,55.636,88.921,42.435,66.747,56.310,84.773,38.045,74.188,59.590,62.965,76.689,54.538,29.957,79.411
40,53.093,98.400,69.394,61.366,61.352,42.472,70.997,62.462,61.353,40.814,93.818,102.284,56.855,47.483,61.133,67.525,59.336,73.495,73.374,44.498,98.362,107.348,47.552,84.101,51.600,77.145,105.495,69.591,54.016,65.149,40.453,51.893,63.988,76.817,75.328,54.674,47.337,49.232,77.248,72.882,88.941,67.126,79.464,69.964,47.247,80.393,55.636,88.921,42.435,66.747,56.310,84.773,38.045,74.188,59.590,62.965,76.689,54.538,29.957,79.411
41,53.093,98.400,69.394,61.366,61.352,42.472,70.997,62.462,61.353,40.814,93.818,102.284,56.855,47.483,61.133,67.525,59.336,73.495,73.374,44.498,98.362,107.348,47.552,84.101,51.600,77.145,105.495,69.591,54.016,65.149,40.453,51.893,63.988,76.817,75.328,54.674,47.337,49.232,77.248,72.882,88.941,67.126,79.464,69.964,47.247,80.393,55.636,88.921,42.435,66.747,56.310,84.773,38.045,74.188,59.590,62.965,76.689,54.538,29.957,79.411
42,53.093,98.400,69.394,61.366,61.352,42.472,70.997,62.462,61.353,40.814,93.818,102.284,56.855,47.483,61.133,67.525,59.336,73.495,73.374,44.498,98.362,107.348,47.552,84.101,51.600,77.145,105.495,69.591,54.016,65.149,40.453,51.893,63.988,76.817,75.328,54.674,47.337,49.232,77.248,72.882,88.941,67.126,79.464,69.964,47.247,80.393,55.636,88.921,42.435,66.747,56.310,84.773,38.045,74.188,59.590,62.965,76.689,54.538,29.957,79.411
43,53.093,98.400,69.394,61.366,61.352,42.472,70.997,62.462,61.353,40.814,93.818,102.284,56.855,47.483,61.133,67.525,59.336,73.495,73.374,44.498,98.362,107.348,47.552,84.101,51.600,77.145,105.495,69.591,54.016,65.149,40.453,51.893,63.988,76.817,75.328,54.674,47.337,49.232,77.248,72.882,88.941,67.126,79.464,69.964,47.247,80.393,55.636,88.921,42.435,66.747,56.310,84.773,38.045,74.188,59.590,62.965,76.689,54.538,29.957,79.411
44,38.714,71.750,50.600,44.746,44.736,30.969,51.768,45.545,44.737,29.760,68.409,74.582,41.457,34.623,44.576,49.237,43.266,53.590,53.502,32.446,71.723,78.275,34.673,61.324,37.625,56.252,76.923,50.744,39.387,47.505,29.497,37.839,46.658,56.012,54.927,39.866,34.516,35.899,56.327,53.143,64.853,48.946,57.943,51.016,34.451,58.620,40.568,64.838,30.942,48.669,41.060,61.813,27.741,54.095,43.451,45.912,55.919,39.767,21.843,57.904
45,38.714,71.750,50.600,44.746,44.736,30.969,51.768,45.545,44.737,29.760,68.409,74.582,41.457,34.623,44.576,49.237,43.266,53.590,53.502,32.446,71.723,78.275,34.673,61.324,37.625,56.252,76.923,50.744,39.387,47.505,29.497,37.839,46.658,56.012,54.927,39.866,34.516,35.899,56.327,53.143,64.853,48.946,57.943,51.016,34.451,58.620,40.568,64.838,30.942,48.669,41.060,61.813,27.741,54.095,43.451,45.912,55.919,39.767,21.843,57.904
46,38.714,71.750,50.600,44.746,44.736,30.969,51.768,45.545,44.737,29.760,68.409,74.582,41.457,34.623,44.576,49.237,43.266,53.590,53.502,32.446,71.723,78.275,34.673,61.324,37.625,56.252,76.923,50.744,39.387,47.505,29.497,37.839,46.658,56.012,54.927,39.866,34.516,35.899,56.327,53.143,64.853,48.946,57.943,51.016,34.451,58.620,40.568,64.838,30.942,48.669,41.060,61.813,27.741,54.095,43.451,45.912,55.919,39.767,21.843,57.904
47,38.714,71.750,50.600,44.746,44.736,30.969,51.768,45.545,44.737,29.760,68.409,74.582,41.457,34.623,44.576,49.237,43.266,53.590,53.502,32.446,71.723,78.275,34.673,61.324,37.625,56.252,76.923,50.744,39.387,47.505,29.497,37.839,46.658,56.012,54.927,39.866,34.516,35.899,56.327,53.143,64.853,48.946,57.943,51.016,34.451,58.620,40.568,64.838,30.942,48.669,41.060,61.813,27.741,54.095,43.451,45.912,55.919,39.767,21.843,57.904
48,33.183,61.500,43.371,38.354,38.345,26.545,44.373,39.039,38.346,25.509,58.636,63.928,35.534,29.677,38.208,42.203,37.085,45.934,45.859,27.811,61.476,67.093,29.720,52.563,32.250,48.216,65.934,43.495,33.760,40.718,25.283,32.433,39.992,48.010,47.080,34.171,29.585,30.770,48.280,45.551,55.588,41.954,49.665,43.728,29.529,50.246,34.773,55.575,26.522,41.717,35.194,52.983,23.778,46.368,37.244,39.353,47.931,34.086,18.723,49.632
49,33.183,61.500,43.371,38.354,38.345,26.545,44.373,39.039,38.346,25.509,58.636,63.928,35.534,29.677,38.208,42.203,37.085,45.934,45.859,27.811,61.476,67.093,29.720,52.563,32.250,48.216,65.934,43.495,33.760,40.718,25.283,32.433,39.992,48.010,47.080,34.171,29.585,30.770,48.280,45.551,55.588,41.954,49.665,43.728,29.529,50.246,34.773,55.575,26.522,41.717,35.194,52.983,23.778,46.368,37.244,39.353,47.931,34.086,18.723,49.632
50,33.183,61.500,43.371,38.354,38.345,26.545,44.373,39.039,38.346,25.509,58.636,63.928,35.534,29.677,38.208,42.203,37.085,45.934,45.859,27.811,61.476,67.093,29.720,52.563,32.250,48.216,65.934,43.495,33.760,40.718,25.283,32.433,39.992,48.010,47.080,34.171,29.585,30.770,48.280,45.551,55.588,41.954,49.665,43.728,29.529,50.246,34.773,55.575,26.522,41.717,35.194,52.983,23.778,46.368,37.244,39.353,47.931,34.086,18.723,49.632
51,33.183,61.500,43.371,38.354,38.345,26.545,44.373,39.039,38.346,25.509,58.636,63.928,35.534,29.677,38.208,42.203,37.085,45.934,45.859,27.811,61.476,67.093,29.720,52.563,32.250,48.216,65.934,43.495,33.760,40.718,25.283,32.433,39.992,48.010,47.080,34.171,29.585,30.770,48.280,45.551,55.588,41.954,49.665,43.728,29.529,50.246,34.773,55.575,26.522,41.717,35.194,52.983,23.778,46.368,37.244,39.353,47.931,34.086,18.723,49.632
52,66.625,46.986,41.550,41.540,28.757,48.071,42.292,41.541,27.635,63.522,69.255,38.496,32.150,41.392,45.720,40.175,49.762,49.681,30.129,66.600,72.684,32.196,56.943,34.938,52.234,71.429,47.119,36.574,44.111,27.390,35.136,43.325,52.011,51.004,37.019,32.051,33.334,52.303,49.347,60.220,45.450,53.804,47.372,31.990,54.433,37.670,60.207,28.732,45.193,38.127,57.398,25.760,50.231,40.347,42.633,51.925,36.927,20.283,53.768,63.496
53,66.625,46.986,41.550,41.540,28.757,48.071,42.292,41.541,27.635,63.522,69.255,38.496,32.150,41.392,45.720,40.175,49.762,49.681,30.129,66.600,72.684,32.196,56.943,34.938,52.234,71.429,47.119,36.574,44.111,27.390,35.136,43.325,52.011,51.004,37.019,32.051,33.334,52.303,49.347,60.220,45.450,53.804,47.372,31.990,54.433,37.670,60.207,28.732,45.193,38.127,57.398,25.760,50.231,40.347,42.633,51.925,36.927,20.283,53.768,63.496
54,66.625,46.986,41.550,41.540,28.757,48.071,42.292,41.541,27.635,63.522,69.255,38.496,32.150,41.392,45.720,40.175,49.762,49.681,30.129,66.600,72.684,32.196,56.943,34.938,52.234,71.429,47.119,36.574,44.111,27.390,35.136,43.325,52.011,51.004,37.019,32.051,33.334,52.303,49.347,60.220,45.450,53.804,47.372,31.990,54.433,37.670,60.207,28.732,45.193,38.127,57.398,25.760,50.231,40.347,42.633,51.925,36.927,20.283,53.768,63.496
